=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2020.01.03 20:51:55 =~=~=~=~=~=~=~=~=~=~=~=
unkÿunknown command
Changed active channel to 1
0x5748 -1.9841522 0x691c -1.9889021
0x5749 -1.9839615 0x691f -1.9877303
0x574a -1.9837707 0x6920 -1.9873393
0x574b -1.9835800 0x6921 -1.9869483
0x574c -1.9833893 0x6922 -1.9865584
0x574d -1.9831985 0x6922 -1.9865584
0x574e -1.9830078 0x6921 -1.9869483
0x574f -1.9828171 0x6923 -1.9861674
0x5750 -1.9826263 0x6924 -1.9857764
0x5751 -1.9824356 0x6921 -1.9869483
0x5752 -1.9822448 0x6923 -1.9861674
0x5753 -1.9820541 0x6924 -1.9857764
0x5754 -1.9818634 0x6923 -1.9861674
0x5755 -1.9816726 0x6923 -1.9861674
0x5756 -1.9814819 0x6924 -1.9857764
0x5757 -1.9812912 0x6925 -1.9853854
0x5758 -1.9811004 0x6925 -1.9853854
0x5759 -1.9809097 0x6927 -1.9846058
0x575a -1.9807190 0x6926 -1.9849956
0x575b -1.9805282 0x6925 -1.9853854
0x575c -1.9803375 0x6928 -1.9842136
0x575d -1.9801468 0x6927 -1.9846058
0x575e -1.9799560 0x6926 -1.9849956
0x575f -1.9797653 0x6927 -1.9846058
0x5760 -1.9795746 0x6927 -1.9846058
0x5761 -1.9793838 0x6928 -1.9842136
0x5762 -1.9791931 0x692b -1.9830418
0x5763 -1.9790024 0x692b -1.9830418
0x5764 -1.9788116 0x692b -1.9830418
0x5765 -1.9786209 0x692b -1.9830418
0x5766 -1.9784302 0x692d -1.9822609
0x5767 -1.9782394 0x692d -1.9822609
0x5768 -1.9780487 0x692d -1.9822609
0x5769 -1.9778579 0x692f -1.9814801
0x576a -1.9776672 0x692e -1.9818711
0x576b -1.9774765 0x692f -1.9814801
0x576c -1.9772857 0x692e -1.9818711
0x576d -1.9770950 0x692d -1.9822609
0x576e -1.9769042 0x692f -1.9814801
0x576f -1.9767134 0x692f -1.9814801
0x5770 -1.9765227 0x6932 -1.9803071
0x5771 -1.9763319 0x6931 -1.9806993
0x5772 -1.9761412 0x6931 -1.9806993
0x5773 -1.9759505 0x6930 -1.9810891
0x5774 -1.9757597 0x6933 -1.9799173
0x5775 -1.9755690 0x6932 -1.9803071
0x5776 -1.9753783 0x6932 -1.9803071
0x5777 -1.9751875 0x6932 -1.9803071
0x5778 -1.9749968 0x6931 -1.9806993
0x5779 -1.9748061 0x6934 -1.9795275
0x577a -1.9746153 0x6932 -1.9803071
0x577b -1.9744246 0x6936 -1.9787455
0x577c -1.9742339 0x6937 -1.9783545
0x577d -1.9740431 0x6936 -1.9787455
0x577e -1.9738524 0x6938 -1.9779646
0x577f -1.9736617 0x6937 -1.9783545
0x5780 -1.9734709 0x6937 -1.9783545
0x5781 -1.9732802 0x6939 -1.9775736
0x5782 -1.9730895 0x6937 -1.9783545
0x5783 -1.9728987 0x693a -1.9771826
0x5784 -1.9727080 0x6939 -1.9775736
0x5785 -1.9725173 0x693c -1.9764018
0x5786 -1.9723265 0x693a -1.9771826
0x5787 -1.9721358 0x6939 -1.9775736
0x5788 -1.9719450 0x693a -1.9771826
0x5789 -1.9717543 0x693e -1.9756210
0x578a -1.9715636 0x693b -1.9767928
0x578b -1.9713728 0x693b -1.9767928
0x578c -1.9711821 0x693f -1.9752300
0x578d -1.9709914 0x693d -1.9760108
0x578e -1.9708006 0x693e -1.9756210
0x578f -1.9706099 0x693f -1.9752300
0x5790 -1.9704192 0x693e -1.9756210
0x5791 -1.9702284 0x693f -1.9752300
0x5792 -1.9700377 0x6941 -1.9744480
0x5793 -1.9698470 0x6940 -1.9748378
0x5794 -1.9696562 0x693f -1.9752300
0x5795 -1.9694655 0x6943 -1.9736671
0x5796 -1.9692748 0x6943 -1.9736671
0x5797 -1.9690840 0x6944 -1.9732761
0x5798 -1.9688933 0x6941 -1.9744480
0x5799 -1.9687026 0x6943 -1.9736671
0x579a -1.9685117 0x6943 -1.9736671
0x579b -1.9683210 0x6944 -1.9732761
0x579c -1.9681302 0x6943 -1.9736671
0x579d -1.9679395 0x6944 -1.9732761
0x579e -1.9677488 0x6948 -1.9717133
0x579f -1.9675580 0x6945 -1.9728851
0x57a0 -1.9673673 0x6944 -1.9732761
0x57a1 -1.9671766 0x6946 -1.9724953
0x57a2 -1.9669858 0x6947 -1.9721043
0x57a3 -1.9667951 0x6946 -1.9724953
0x57a4 -1.9666044 0x6949 -1.9713235
0x57a5 -1.9664136 0x6949 -1.9713235
0x57a6 -1.9662229 0x6949 -1.9713235
0x57a7 -1.9660321 0x6949 -1.9713235
0x57a8 -1.9658414 0x694a -1.9709325
0x57a9 -1.9656507 0x694e -1.9693697
0x57aa -1.9654599 0x694c -1.9701505
0x57ab -1.9652692 0x694c -1.9701505
0x57ac -1.9650785 0x694b -1.9705415
0x57ad -1.9648877 0x694e -1.9693697
0x57ae -1.9646970 0x694e -1.9693697
0x57af -1.9645063 0x694f -1.9689786
0x57b0 -1.9643155 0x694e -1.9693697
0x57b1 -1.9641248 0x694d -1.9697607
0x57b2 -1.9639341 0x694e -1.9693697
0x57b3 -1.9637433 0x6950 -1.9685888
0x57b4 -1.9635526 0x694f -1.9689786
0x57b5 -1.9633619 0x694e -1.9693697
0x57b6 -1.9631711 0x6950 -1.9685888
0x57b7 -1.9629804 0x6952 -1.9678068
0x57b8 -1.9627897 0x6952 -1.9678068
0x57b9 -1.9625989 0x6951 -1.9681978
0x57ba -1.9624082 0x6952 -1.9678068
0x57bb -1.9622175 0x6954 -1.9670260
0x57bc -1.9620267 0x6953 -1.9674170
0x57bd -1.9618359 0x6955 -1.9666350
0x57be -1.9616451 0x6956 -1.9662452
0x57bf -1.9614544 0x6955 -1.9666350
0x57c0 -1.9612637 0x6955 -1.9666350
0x57c1 -1.9610729 0x6956 -1.9662452
0x57c2 -1.9608822 0x6956 -1.9662452
0x57c3 -1.9606915 0x6957 -1.9658542
0x57c4 -1.9605007 0x6955 -1.9666350
0x57c5 -1.9603100 0x6957 -1.9658542
0x57c6 -1.9601192 0x6957 -1.9658542
0x57c7 -1.9599285 0x695b -1.9642925
0x57c8 -1.9597378 0x695a -1.9646823
0x57c9 -1.9595470 0x6959 -1.9650722
0x57ca -1.9593563 0x6959 -1.9650722
0x57cb -1.9591656 0x6959 -1.9650722
0x57cc -1.9589748 0x695a -1.9646823
0x57cd -1.9587841 0x695a -1.9646823
0x57ce -1.9585934 0x695b -1.9642925
0x57cf -1.9584026 0x695d -1.9635105
0x57d0 -1.9582119 0x695d -1.9635105
0x57d1 -1.9580212 0x695d -1.9635105
0x57d2 -1.9578304 0x695d -1.9635105
0x57d3 -1.9576397 0x695f -1.9627285
0x57d4 -1.9574490 0x695e -1.9631195
0x57d5 -1.9572582 0x695e -1.9631195
0x57d6 -1.9570675 0x695e -1.9631195
0x57d7 -1.9568768 0x6960 -1.9623387
0x57d8 -1.9566860 0x695e -1.9631195
0x57d9 -1.9564953 0x6962 -1.9615579
0x57da -1.9563046 0x6960 -1.9623387
0x57db -1.9561138 0x6964 -1.9607759
0x57dc -1.9559231 0x6962 -1.9615579
0x57dd -1.9557323 0x6961 -1.9619477
0x57de -1.9555416 0x6964 -1.9607759
